SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
603355.SH,603355,莱克电气,10266717,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-26 00:00:00,2023-04-26 00:00:00,CNY,1827665311.72,-22.248274906,1827665311.72,-22.248274906,,,,,,,,,,,1599107266.21,-22.7310681967,1295503301.61,-28.5243475056,,,,,106202179.82,17.6701752748,,,,,,,,,,,,,14627904.7,53.819380878,118279608.97,48.6437160926,53425383.47,-13.6337348207,,,11068887.64,-30.0725030292,20061831.63,74.2678484512,57672213.94,782.1687243453,,,,,,,4006570.35,,,,,,,,,,357891.19,272.093825613,-31432407.35,-11.0609091002,537337.84,125.4310961784,13128327.48,671.1168609024,,,0,,215155765.02,-14.6843324661,826556.44,1.3377098753,,,9186.15,-96.0386445348,,,,,0,,215973135.31,-14.5579975088,30213659.79,-27.2769179023,,,,,,,185759475.52,-12.0562984084,,,185759475.52,-12.0562984084,,,185381649.72,-12.2420339359,377825.8,2387.5103681684,169239537.7,-19.2077222772,,,,,0.32,-13.5135135135,0.32,-13.5135135135,-3347731.94,61.7729619475,-3347731.94,61.7729619475,,,,,,,,,,,,,,,,,,,,,-3347731.94,61.7729619475,,,,,,,,,,,,,,,-3347731.94,61.7729619475,,,,,,,,,182411743.58,-9.905866372,182033917.78,-10.0998104152,377825.8,2387.5103681684,,,,,,,,,,,
603355.SH,603355,莱克电气,10266717,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-26 00:00:00,2023-04-26 00:00:00,CNY,8910331461.62,12.1394782598,8910331461.62,12.1394782598,,,,,,,,,,,7788812847.55,5.1236160874,6859555754.5,10.3853930957,,,,,484297142.72,11.1360194971,,,,,,,,,,,,,64007821.53,78.8512085261,442068585.28,-0.9485266061,278356168.08,39.6084072356,,,-339472624.56,-536.5487737361,73852489.67,124.276511311,107094942.34,249.5991974027,,,,,,,744444.44,-91.570869106,,,,,,,,,-706397.77,-42.3549144119,-65447374.67,20.3059854792,-23043913.18,-1118.6702261871,34135343.87,-11.5692811604,,,0,,1067200716.76,113.6596552264,21083927.13,-26.5295998227,,,10734564.56,1212.9937270724,,,,,0,,1077550079.33,104.3268351587,93657205.15,283.0468310495,,,,,,,983892874.18,95.637879184,,,983892874.18,95.637879184,,,982882813.29,95.5642308588,1010060.89,208.8015833412,945624187.17,115.455017005,,,,,1.71,96.5517241379,1.71,96.5517241379,-14306273.28,-217.8874982316,-14306273.28,-217.8874982316,,,,,,,,,,,,,,,,,,,,,-14306273.28,-217.8874982316,,,,,,,,,,,,,,,-14306273.28,-217.8874982316,,,,,,,,,969586600.9,88.2506537479,968576540.01,88.1740474666,1010060.89,208.8015833412,,,,,,,,,,,标准无保留意见
603355.SH,603355,莱克电气,10266717,通用,2022-09-30 00:00:00,三季报,2022三季报,058001001,2022-10-29 00:00:00,2022-10-29 00:00:00,CNY,6737863945.99,17.3613274842,6737863945.99,17.3613274842,,,,,,,,,,,5788914537.75,10.3812399432,5296932041.09,18.8542381585,,,,,344051821.07,19.8500146876,,,,,,,,,,,,,51442557.07,96.5417178166,281977595.32,8.5094788588,192098841.67,-2.2812775764,,,-377588318.47,-2183.7717171236,39601609.67,52.3814611835,42323166.52,76.1927450376,,,,,,,,,,,,,,,,,-753109.22,2.4396309696,-46800719.81,-1.023943515,-15501258.54,-9545.9895263015,7928419.17,-29.4989664413,,,0,,893822739.84,90.3883867019,22757166.99,-17.7774649063,,,8729367.86,1441.0876227014,,,,,0,,907850538.97,82.8189662185,87165564.02,368.4047915968,,,,,,,820684974.95,71.70024849,,,820684974.95,71.70024849,,,820484563.08,71.7338950546,200411.87,-4.7224397217,802431670.38,83.2044403083,,,,,1.43,72.2891566265,1.43,72.2891566265,-14835530.56,-918.5948388214,-14835530.56,-918.5948388214,,,,,,,,,,,,,,,,,,,,,-14835530.56,-918.5948388214,,,,,,,,,,,,,,,-14835530.56,-918.5948388214,,,,,,,,,805849444.39,67.9595770275,805649032.52,67.9914557629,200411.87,-4.7224397217,,,,,,,,,,,
603355.SH,603355,莱克电气,10266717,通用,2022-06-30 00:00:00,中报,2022中报,058001001,2022-08-30 00:00:00,2022-08-30 00:00:00,CNY,4510125965.78,10.8142028511,4510125965.78,10.8142028511,,,,,,,,,,,3917627175.68,6.1039410245,3510375190.6,10.3184080526,,,,,223592617.95,17.9768758425,,,,,,,,,,,,,37623976.31,135.4318382145,180283269.71,29.5718184171,118592480.1,-8.4360290692,,,-152840358.99,-523.9077695626,24480875.99,21.5268445706,18091956.92,17.5352201977,,,,,,,,,,,,,,,,,-207804.03,69.6841241828,-42621185.39,-11.9987809732,-5380873.6,-815.2702160231,5277450.45,-41.3806325874,,,0,,549566377.53,54.2680389839,1457446.81,-75.2627137963,,,255081.56,-52.3042392031,,,,,0,,550768742.78,52.3151513834,68686578.94,132.145023821,,,,,,,482082163.84,45.2009471563,,,482082163.84,45.2009471563,,,482032533.28,45.3526101047,49630.56,-86.9588598846,476743866.61,52.6067737266,,,,,0.84,3.7037037037,0.84,3.7037037037,-11305070.97,-885.490821734,-11305070.97,-885.490821734,,,,,,,,,,,,,,,,,,,,,-11305070.97,-885.490821734,,,,,,,,,,,,,,,-11305070.97,-885.490821734,,,,,,,,,470777092.87,42.2875386517,470727462.31,42.4363730909,49630.56,-86.9588598846,,,,,,,,,,,
603355.SH,603355,莱克电气,10266717,通用,2022-03-31 00:00:00,一季报,2022一季报,058001001,2022-04-29 00:00:00,2023-04-26 00:00:00,CNY,2350642779.32,16.7906261592,2350642779.32,16.7906261592,,,,,,,,,,,2069534583.81,16.4425750462,1812509933.66,14.7761771112,,,,,90254118.83,-0.9809067356,,,,,,,,,,,,,9509792.99,34.8128462734,79572559.19,12.603824645,61859087.41,12.7074884305,,,15829091.73,161.7808538403,11512067.09,256.6064565224,6537549.15,-23.5702671221,,,,,,,,,,,,,,,,,-207962.83,6.2943722507,-28301953.95,-23.3868540938,-2112916.55,-1115.5360807593,1702508.16,-60.3934675762,,,0,,252187870.34,13.351950635,815645.47,14.4838311341,,,231894.11,207.1569248824,,,,,0,,252771621.7,13.2899870039,41546176.15,29.9317000805,,,,,,,211225445.55,10.5060851146,,,211225445.55,10.5060851146,,,211241962.45,10.6385377915,-16516.9,-107.721712599,209474893.48,15.1432102374,,,,,0.37,-19.5652173913,0.37,-19.5652173913,-8757497.6,-794.8954576862,-8757497.6,-794.8954576862,,,,,,,,,,,,,,,,,,,,,-8757497.6,-794.8954576862,,,,,,,,,,,,,,,-8757497.6,-794.8954576862,,,,,,,,,202467947.95,6.4695515525,202484464.85,6.5981411124,-16516.9,-107.721712599,,,,,,,,,,,
603355.SH,603355,莱克电气,10266717,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-04-29 00:00:00,2023-04-26 00:00:00,CNY,7945757907.82,26.5087601127,7945757907.82,26.5087601127,,,,,,,,,,,7409194182.47,30.2234583588,6214187912.12,33.1145001964,,,,,435769739.56,40.4445213714,,,,,,,,,,,,,35788308.09,14.7588181454,446301877.33,34.3886330985,199383528.25,-2.7601691326,,,77762817.12,-45.502975885,32929212.8,36.9970972196,30633635.07,-21.2852127427,,,,,,,8831805.43,-81.5638745095,,,,,,,,,-496222.96,73.3299646728,-82123325.15,-31.8566652118,-1890906.39,-218.590328695,38601228.53,116.7282503223,,,0,,499486304.81,-15.640261391,28697172.03,16.403265575,,,817564.04,-99.6930837859,,,,,0,,527365912.8,50.5194800339,24450588.69,0.9820764025,,,,,,,502915324.11,54.197037128,,,502915324.11,54.197037128,,,502588233.53,53.235584668,327090.58,117.8452548488,438896341.48,-8.0739057267,,,,,0.87,7.4074074074,0.87,7.4074074074,12135530.48,199.2193170525,12135530.48,199.2193170525,,,,,,,,,,,,,,,,,,,,,12135530.48,199.2193170525,,,,,,,,,,,,,,,12135530.48,998.1027026352,,,,,,,,,515050854.59,55.9782581853,514723764.01,55.018716772,327090.58,117.8452548488,,,,,,,,,,,标准无保留意见
603355.SH,603355,莱克电气,10266717,通用,2021-09-30 00:00:00,三季报,2021三季报,058001001,2021-10-29 00:00:00,2022-10-29 00:00:00,CNY,5741127925.55,35.3760523053,5741127925.55,35.3760523053,,,,,,,,,,,5244473191.94,38.4735425189,4456662314.41,43.8004470988,,,,,287068651.57,31.6721258565,,,,,,,,,,,,,26173861.53,4.0160917695,259864482.15,-8.4771356933,196583455.97,54.6029359915,,,18120426.31,-46.5138867634,25988469.57,18.9377337084,24020947.35,-28.2666114059,,,,,,,8831805.43,-71.8945730512,,,,,,,,,-771941.75,49.5709700918,-46326364.01,-8.7072274584,-160701.59,-114.0829661479,11245819.77,-7.9630718782,,,0,,469473351.46,3.3707379719,27677530.21,20.4042198182,,,566442.02,39.2869890915,,,,,0,,496584439.65,4.1614025234,18609024.84,-69.8782596599,,,,,,,477975414.81,15.1842984342,,,477975414.81,15.1842984342,,,477765069.51,14.7980732737,210345.3,117.3427048308,437997937.73,21.2292556876,,,,,0.83,-20.1923076923,0.83,-20.1923076923,1812316.65,459.1491046261,1812316.65,459.1491046261,,,,,,,,,,,,,,,,,,,,,1812316.65,459.1491046261,,,,,,,,,,,,,,,1812316.65,459.1491046261,,,,,,,,,479787731.46,15.5307987449,479577386.16,15.1438651183,210345.3,117.3427048308,,,,,,,,,,,
603355.SH,603355,莱克电气,10266717,通用,2021-06-30 00:00:00,中报,2021中报,058001001,2021-08-28 00:00:00,2022-08-30 00:00:00,CNY,4069989089.61,60.5927938682,4069989089.61,60.5927938682,,,,,,,,,,,3692254159.32,64.4765453156,3182039382.7,72.5787563272,,,,,189522409.67,33.0193417466,,,,,,,,,,,,,15980836.15,-13.033760421,139137716.76,-23.7720599033,129518716.69,51.2581539198,,,36055097.35,228.8761051898,20144418.36,4.0630258265,15392796.21,-41.3691564661,,,,,,,8831805.43,-51.7350560932,,,,,,,,,-685462.73,-31.6116473828,-38055044.01,-12.484010607,-587900.0,-171.0906081664,9002912.66,-0.2623313358,,,0,,356241241.64,25.7461795101,5891700.48,122.5952141817,,,534809.71,167.3795608935,,,,,0,,361598132.41,26.5441285604,29587788.62,-13.1726287599,,,,,,,332010343.79,31.9218042268,,,332010343.79,31.9218042268,,,331629774.61,31.6545061746,380569.18,271.5024479608,312400200.18,37.6031583723,,,,,0.81,28.5714285714,0.81,28.5714285714,-1147151.32,-248.8569984762,-1147151.32,-248.8569984762,,,,,,,,,,,,,,,,,,,,,-1147151.32,-248.8569984762,,,,,,,,,,,,,,,-1147151.32,-248.8569984762,,,,,,,,,330863192.47,31.0646619329,330482623.29,30.7989319397,380569.18,271.5024479608,,,,,,,,,,,
603355.SH,603355,莱克电气,10266717,通用,2021-03-31 00:00:00,一季报,2021一季报,058001001,2021-04-29 00:00:00,2022-04-29 00:00:00,CNY,2012698156.2,78.0255488061,2012698156.2,78.0255488061,,,,,,,,,,,1777300599.02,75.4038425462,1579169109.2,88.0214199654,,,,,91148197.64,62.0046783994,,,,,,,,,,,,,7054070.33,-34.7383809204,70665947.13,-23.9384953068,54884629.47,65.7646213746,,,-25621354.75,-29.9671518951,3228227.33,-67.1592561898,8553672.64,-25.4832633212,,,,,,,5737500.04,63.1007709187,,,,,,,,,-221932.06,37.0529968968,-22937576.42,20.6642556797,208059.23,172.5054694682,4298553.94,84.3558944919,,,0,,222482161.91,137.6874375886,712454.73,-84.1802002957,,,75496.95,-47.0452028486,,,,,0,,223119119.69,127.7566499431,31975396.4,261.9624469234,,,,,,,191143723.29,114.455163876,,,191143723.29,114.455163876,,,190929821.26,114.1937324657,213902.03,2497.3141146553,181925528.26,125.2630393206,,,,,0.46,109.0909090909,0.46,109.0909090909,-978605.66,-924.8001455739,-978605.66,-924.8001455739,,,,,,,,,,,,,,,,,,,,,-978605.66,-924.8001455739,,,,,,,,,,,,,,,-978605.66,-924.8001455739,,,,,,,,,190165117.63,113.0735713502,189951215.6,112.8126255638,213902.03,2497.3141146553,,,,,,,,,,,
603355.SH,603355,莱克电气,10266717,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-04-29 00:00:00,2022-04-29 00:00:00,CNY,6280796603.13,10.1272562657,6280796603.13,10.1272562657,,,,,,,,,,,5689600227.06,11.8994712416,4668302779.15,11.8525873362,,,,,310278916.76,17.8523207472,,,,,,,,,,,,,31185671.54,-31.1119409977,332097936.44,-19.5544710992,205043063.6,-14.11968676,,,142691859.57,390.1282184487,24036431.04,84.5502954271,38917255.75,-10.3874790674,,,,,,,47904888.88,456.8357485339,-2272905.03,-1718.3024952985,,,,,,,-1860601.06,-916.9716878545,-62282270.69,8.443696189,1594486.17,129.3844756449,17810889.2,55.713153821,,,0,,592090863.54,4.8070728303,24653236.22,6.5990976141,,,266380204.88,3099.6996796238,,,,,0,,350363894.88,-39.564920159,24212800.49,-68.7432588469,,,,,,,326151094.39,-35.0648097912,,,326151094.39,-35.0648097912,,,327984021.87,-34.6998823186,-1832927.48,,477444783.17,-0.5426782026,,,,,0.81,-35.2,0.81,-35.2,4055730.96,751.4096534136,4055730.96,751.4096534136,,,,,,,,,,,,,,,,,,,,,4055730.96,751.4096534136,,,,,,,,,,,,,,,1105136.2,277.5010216695,2950594.76,,,,,,,,330206825.35,-34.1757375669,332039752.83,-33.8103571743,-1832927.48,,,,,,,,,,,,标准无保留意见
