SECUCODE,SECURITY_CODE,SECURITY_NAME_ABBR,ORG_CODE,ORG_TYPE,REPORT_DATE,REPORT_TYPE,REPORT_DATE_NAME,SECURITY_TYPE_CODE,NOTICE_DATE,UPDATE_DATE,CURRENCY,TOTAL_OPERATE_INCOME,TOTAL_OPERATE_INCOME_YOY,OPERATE_INCOME,OPERATE_INCOME_YOY,INTEREST_INCOME,INTEREST_INCOME_YOY,EARNED_PREMIUM,EARNED_PREMIUM_YOY,FEE_COMMISSION_INCOME,FEE_COMMISSION_INCOME_YOY,OTHER_BUSINESS_INCOME,OTHER_BUSINESS_INCOME_YOY,TOI_OTHER,TOI_OTHER_YOY,TOTAL_OPERATE_COST,TOTAL_OPERATE_COST_YOY,OPERATE_COST,OPERATE_COST_YOY,INTEREST_EXPENSE,INTEREST_EXPENSE_YOY,FEE_COMMISSION_EXPENSE,FEE_COMMISSION_EXPENSE_YOY,RESEARCH_EXPENSE,RESEARCH_EXPENSE_YOY,SURRENDER_VALUE,SURRENDER_VALUE_YOY,NET_COMPENSATE_EXPENSE,NET_COMPENSATE_EXPENSE_YOY,NET_CONTRACT_RESERVE,NET_CONTRACT_RESERVE_YOY,POLICY_BONUS_EXPENSE,POLICY_BONUS_EXPENSE_YOY,REINSURE_EXPENSE,REINSURE_EXPENSE_YOY,OTHER_BUSINESS_COST,OTHER_BUSINESS_COST_YOY,OPERATE_TAX_ADD,OPERATE_TAX_ADD_YOY,SALE_EXPENSE,SALE_EXPENSE_YOY,MANAGE_EXPENSE,MANAGE_EXPENSE_YOY,ME_RESEARCH_EXPENSE,ME_RESEARCH_EXPENSE_YOY,FINANCE_EXPENSE,FINANCE_EXPENSE_YOY,FE_INTEREST_EXPENSE,FE_INTEREST_EXPENSE_YOY,FE_INTEREST_INCOME,FE_INTEREST_INCOME_YOY,ASSET_IMPAIRMENT_LOSS,ASSET_IMPAIRMENT_LOSS_YOY,CREDIT_IMPAIRMENT_LOSS,CREDIT_IMPAIRMENT_LOSS_YOY,TOC_OTHER,TOC_OTHER_YOY,FAIRVALUE_CHANGE_INCOME,FAIRVALUE_CHANGE_INCOME_YOY,INVEST_INCOME,INVEST_INCOME_YOY,INVEST_JOINT_INCOME,INVEST_JOINT_INCOME_YOY,NET_EXPOSURE_INCOME,NET_EXPOSURE_INCOME_YOY,EXCHANGE_INCOME,EXCHANGE_INCOME_YOY,ASSET_DISPOSAL_INCOME,ASSET_DISPOSAL_INCOME_YOY,ASSET_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME_YOY,CREDIT_IMPAIRMENT_INCOME,CREDIT_IMPAIRMENT_INCOME_YOY,OTHER_INCOME,OTHER_INCOME_YOY,OPERATE_PROFIT_OTHER,OPERATE_PROFIT_OTHER_YOY,OPERATE_PROFIT_BALANCE,OPERATE_PROFIT_BALANCE_YOY,OPERATE_PROFIT,OPERATE_PROFIT_YOY,NONBUSINESS_INCOME,NONBUSINESS_INCOME_YOY,NONCURRENT_DISPOSAL_INCOME,NONCURRENT_DISPOSAL_INCOME_YOY,NONBUSINESS_EXPENSE,NONBUSINESS_EXPENSE_YOY,NONCURRENT_DISPOSAL_LOSS,NONCURRENT_DISPOSAL_LOSS_YOY,EFFECT_TP_OTHER,EFFECT_TP_OTHER_YOY,TOTAL_PROFIT_BALANCE,TOTAL_PROFIT_BALANCE_YOY,TOTAL_PROFIT,TOTAL_PROFIT_YOY,INCOME_TAX,INCOME_TAX_YOY,EFFECT_NETPROFIT_OTHER,EFFECT_NETPROFIT_OTHER_YOY,EFFECT_NETPROFIT_BALANCE,EFFECT_NETPROFIT_BALANCE_YOY,UNCONFIRM_INVEST_LOSS,UNCONFIRM_INVEST_LOSS_YOY,NETPROFIT,NETPROFIT_YOY,PRECOMBINE_PROFIT,PRECOMBINE_PROFIT_YOY,CONTINUED_NETPROFIT,CONTINUED_NETPROFIT_YOY,DISCONTINUED_NETPROFIT,DISCONTINUED_NETPROFIT_YOY,PARENT_NETPROFIT,PARENT_NETPROFIT_YOY,MINORITY_INTEREST,MINORITY_INTEREST_YOY,DEDUCT_PARENT_NETPROFIT,DEDUCT_PARENT_NETPROFIT_YOY,NETPROFIT_OTHER,NETPROFIT_OTHER_YOY,NETPROFIT_BALANCE,NETPROFIT_BALANCE_YOY,BASIC_EPS,BASIC_EPS_YOY,DILUTED_EPS,DILUTED_EPS_YOY,OTHER_COMPRE_INCOME,OTHER_COMPRE_INCOME_YOY,PARENT_OCI,PARENT_OCI_YOY,MINORITY_OCI,MINORITY_OCI_YOY,PARENT_OCI_OTHER,PARENT_OCI_OTHER_YOY,PARENT_OCI_BALANCE,PARENT_OCI_BALANCE_YOY,UNABLE_OCI,UNABLE_OCI_YOY,CREDITRISK_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE_YOY,OTHERRIGHT_FAIRVALUE_CHANGE,OTHERRIGHT_FAIRVALUE_CHANGE_YOY,SETUP_PROFIT_CHANGE,SETUP_PROFIT_CHANGE_YOY,RIGHTLAW_UNABLE_OCI,RIGHTLAW_UNABLE_OCI_YOY,UNABLE_OCI_OTHER,UNABLE_OCI_OTHER_YOY,UNABLE_OCI_BALANCE,UNABLE_OCI_BALANCE_YOY,ABLE_OCI,ABLE_OCI_YOY,RIGHTLAW_ABLE_OCI,RIGHTLAW_ABLE_OCI_YOY,AFA_FAIRVALUE_CHANGE,AFA_FAIRVALUE_CHANGE_YOY,HMI_AFA,HMI_AFA_YOY,CASHFLOW_HEDGE_VALID,CASHFLOW_HEDGE_VALID_YOY,CREDITOR_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE_YOY,CREDITOR_IMPAIRMENT_RESERVE,CREDITOR_IMPAIRMENT_RESERVE_YOY,FINANCE_OCI_AMT,FINANCE_OCI_AMT_YOY,CONVERT_DIFF,CONVERT_DIFF_YOY,ABLE_OCI_OTHER,ABLE_OCI_OTHER_YOY,ABLE_OCI_BALANCE,ABLE_OCI_BALANCE_YOY,OCI_OTHER,OCI_OTHER_YOY,OCI_BALANCE,OCI_BALANCE_YOY,TOTAL_COMPRE_INCOME,TOTAL_COMPRE_INCOME_YOY,PARENT_TCI,PARENT_TCI_YOY,MINORITY_TCI,MINORITY_TCI_YOY,PRECOMBINE_TCI,PRECOMBINE_TCI_YOY,EFFECT_TCI_BALANCE,EFFECT_TCI_BALANCE_YOY,TCI_OTHER,TCI_OTHER_YOY,TCI_BALANCE,TCI_BALANCE_YOY,ACF_END_INCOME,ACF_END_INCOME_YOY,OPINION_TYPE
002910.SZ,002910,庄园牧场,10299834,通用,2023-03-31 00:00:00,一季报,2023一季报,058001001,2023-04-29 00:00:00,2023-04-29 00:00:00,CNY,250199013.12,2.5931053837,250199013.12,2.5931053837,,,,,,,,,,,244220522.23,2.39403519,194253557.45,2.7270509219,,,,,935803.2,-39.8848668732,,,,,,,,,,,,,2334983.93,13.9113970469,16337824.56,11.1996008593,22494650.97,-0.620330322,,,7863702.12,-7.2653850104,8815672.84,-7.4508050886,1317300.74,-43.522941898,,,,,,,-1919314.62,-131.2165729415,,,,,,,,,,,,,-65021.95,-152.0515684127,2434015.79,-20.9972974857,,,0,,6428170.11,-56.3184701837,37623.79,-92.3513200765,,,190165.64,-81.4324582054,,,,,0,,6275628.26,-55.7546685991,-51242.5,-101.7877439961,,,,,,,6326870.76,-44.0960022181,,,6326870.76,-44.0960022181,,,6326870.76,-44.0960022181,,,4045396.82,-53.4823290499,,,,,0.03,-40.0,0.03,-40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6326870.76,-44.0960022181,6326870.76,-44.0960022181,,,,,,,,,,,,,
002910.SZ,002910,庄园牧场,10299834,通用,2022-12-31 00:00:00,年报,2022年报,058001001,2023-04-21 00:00:00,2023-04-21 00:00:00,CNY,1049876988.11,2.7848607841,1049876988.11,2.7848607841,,,,,,,,,,,1014786432.95,4.417291643,849989414.53,9.1824641019,,,,,8297711.03,-10.2651513582,,,,,,,,,,,,,11364438.77,19.5036512424,53939108.56,-11.1856448901,78891088.73,-22.0884973609,,,12304671.33,-2.3960775308,36654597.87,96.0882417789,6674395.81,1.3262068505,,,,,,,19913790.1,101.1189579314,-787942.82,76.4371025342,,,,,,,-22654.87,96.0586752925,0.0,100.0,-159799.08,-153.8889043827,14401198.13,103.3512415191,,,0,,68435146.62,9.7682805928,1168041.72,-67.7609331143,,,1404943.04,-87.0400454212,,,,,0,,68198245.3,23.7099885004,7249581.26,354.6727038899,,,,,,,60948664.04,13.8523911104,,,60948664.04,13.8523911104,,,60948664.04,13.8523911104,,,29325427.35,-41.9065865741,,,,,0.28,21.7391304348,0.28,21.7391304348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60948664.04,13.8523911104,60948664.04,13.8523911104,,,,,,,,,,,-785126.59,76.5213199888,标准无保留意见
002910.SZ,002910,庄园牧场,10299834,通用,2022-09-30 00:00:00,三季报,2022三季报,058001001,2022-10-28 00:00:00,2022-10-28 00:00:00,CNY,776834918.35,5.630355051,776834918.35,5.630355051,,,,,,,,,,,757072696.17,10.2437552475,623991487.0,13.8334696934,,,,,12495582.84,141.1413558169,,,,,,,,,,,,,7144826.72,2.9364591223,41749995.68,-9.3315289876,64214404.37,-6.0961974521,,,7476399.56,-37.7565211728,30799643.68,84.5374725462,5240128.11,3.3834531032,,,,,,,9493386.98,305.7976418975,-632942.82,81.0722727705,,,,,,,-22654.87,95.8286737452,,,-10383.13,-102.3963221128,7222599.19,132.7370434916,,,0,,35812227.53,-16.9998937679,2476258.51,69.1933441832,,,1355493.03,-86.2445161345,,,,,0,,36932993.01,6.261894171,6600402.77,166.988872773,,,,,,,30332590.24,-6.0457013121,,,30332590.24,-6.0457013121,,,30332590.24,-6.0457013121,,,6977011.92,-81.1945620758,,,,,0.15,7.1428571429,0.15,7.1428571429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30332590.24,-6.0457013121,30332590.24,-6.0457013121,,,,,,,,,,,-630126.59,81.1564902252,
002910.SZ,002910,庄园牧场,10299834,通用,2022-06-30 00:00:00,中报,2022中报,058001001,2022-08-31 00:00:00,2022-08-31 00:00:00,CNY,496454452.97,3.2516622556,496454452.97,3.2516622556,,,,,,,,,,,477516992.7,8.8108824621,391225123.14,14.1975098061,,,,,7250016.89,85.1985540109,,,,,,,,,,,,,5014893.02,-4.6796638455,27721864.57,-6.2792253159,46142644.6,-4.3969955689,,,162450.48,-98.2426641359,19874862.86,60.4391397523,3819240.6,13.6489541403,,,,,,,-11555122.45,-133.3668688708,-2816.23,99.9157825453,,,,,,,,,,,143524.37,27.5175962172,5000469.86,181.6223627425,,,0,,12523515.82,-63.629919042,1684620.76,115.9308722097,,,1121068.86,-88.2222426649,,,,,0,,13087067.72,-49.0680587225,4017110.86,41.3770551801,,,,,,,9069956.86,-60.3131181056,,,9069956.86,-60.3131181056,,,9069956.86,-60.3131181056,,,-10026181.32,-134.2192897285,,,,,0.04,-60.0,0.04,-60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9069956.86,-60.3131181056,9069956.86,-60.3131181056,,,,,,,,,,,,,
002910.SZ,002910,庄园牧场,10299834,通用,2022-03-31 00:00:00,一季报,2022一季报,058001001,2022-04-30 00:00:00,2023-04-29 00:00:00,CNY,243875075.41,4.1560140053,243875075.41,4.1560140053,,,,,,,,,,,238510497.0,12.4253717097,189096791.65,17.3156611842,,,,,1556684.9,-20.7412743835,,,,,,,,,,,,,2049824.68,-9.2640180513,14692341.01,-9.6929323207,22635063.13,-12.2580425896,,,8479791.63,81.4262384731,9525391.17,41.7546610724,2332452.83,8.8048417114,,,,,,,6148383.5,299.1564988519,-2816.23,99.9157825453,,,,,,,,,,,124918.33,-42.4055634793,3080927.25,221.5884579897,,,0,,14715991.26,-31.1217664893,491899.13,0.500186985,,,1024183.18,101.1640285862,,,,,0,,14183707.21,-33.5519244523,2866322.03,395.2708383046,,,,,,,11317385.18,-45.5025387279,,,11317385.18,-45.5025387279,,,11317385.18,-45.5025387279,,,8696473.27,-56.2558544663,,,,,0.05,-44.4444444444,0.05,-44.4444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11317385.18,-45.5025387279,11317385.18,-45.5025387279,,,,,,,,,,,,,
002910.SZ,002910,庄园牧场,10299834,通用,2021-12-31 00:00:00,年报,2021年报,058001001,2022-03-31 00:00:00,2023-04-21 00:00:00,CNY,1021431541.67,38.0647424646,1021431541.67,38.0647424646,,,,,,,,,,,971856688.66,35.8064489206,778503600.85,40.6791544732,,,,,9246921.52,1.5793820943,,,,,,,,,,,,,9509700.04,22.7879273751,60732421.57,15.2952638416,101257306.12,47.1442137391,,,12606738.56,-47.2322047732,18692909.65,-32.1483415923,6587038.06,20.4154600763,,,,,,,9901498.25,-86.6669697385,-3343998.0,74.1280117745,,,,,,,-574803.44,-283.5879253782,-590914.73,99.2208193933,296534.29,119.6012809572,7081932.73,8.898849003,,,0,,62345102.11,315.4950010732,3623063.05,-59.7705037452,,,10840647.87,-6.950524452,,,,,0,,55127517.29,345.9941306778,1594461.51,-16.3944701333,,,,,,,53533055.78,412.108090053,,,53533055.78,412.108090053,,,53533055.78,412.108090053,,,50479780.1,1469.565956782,,,,,0.23,360.0,0.23,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53533055.78,412.108090053,53533055.78,412.108090053,,,,,,,,,,,-3343998.0,74.1280117745,标准无保留意见
002910.SZ,002910,庄园牧场,10299834,通用,2021-09-30 00:00:00,三季报,2021三季报,058001001,2021-10-30 00:00:00,2022-10-28 00:00:00,CNY,735427726.22,39.8489179741,735427726.22,39.8489179741,,,,,,,,,,,686726150.13,34.8662551196,548161703.83,45.4441639255,,,,,5181849.79,-27.1369442813,,,,,,,,,,,,,6941006.89,52.4486052796,46046872.98,-1.3698137424,68383177.92,28.6232442055,,,12011538.72,-42.2126640945,16690183.98,-29.0509626185,5068633.28,23.4893431925,,,,,,,-4612971.7,42.7050604552,-3343998.0,56.7185788881,,,,,,,-543109.52,-294.851616153,-590914.73,,433294.42,363.4048503227,3103330.3,-27.9844634721,,,0,,43147206.86,709.734605768,1463567.33,272.2703404333,,,9854201.01,2661.2787093642,,,,,0,,34756573.18,547.858886389,2472163.99,388.1532474022,,,,,,,32284409.19,418.8108398498,,,32284409.19,418.8108398498,,,32284409.19,418.8108398498,,,37101034.01,1676.781141964,,,,,0.14,366.6666666667,0.14,366.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32284409.19,418.8108398498,32284409.19,418.8108398498,,,,,,,,,,,-3343998.0,56.7185788881,
002910.SZ,002910,庄园牧场,10299834,通用,2021-06-30 00:00:00,中报,2021中报,058001001,2021-08-30 00:00:00,2022-08-31 00:00:00,CNY,480819816.48,47.9503809328,480819816.48,47.9503809328,,,,,,,,,,,438850399.79,36.6101701556,342586387.22,48.0795141623,,,,,3914726.51,-24.4006572801,,,,,,,,,,,,,5261094.56,73.995502431,29579209.8,-3.8593194382,48264847.82,40.176653473,,,9244133.88,-43.940521925,12387789.47,-21.3468698086,3360559.39,49.970833297,,,,,,,-4951483.69,4.1145309699,-3343998.0,35.3838817284,,,,,,,-537600.93,,-590914.73,,112552.6,194.7107916478,1775594.03,-39.6602537347,,,0,,34433565.97,1013.1280577871,780166.7,113.812434313,,,9518525.71,3900.517840492,,,,,0,,25695206.96,805.1384381149,2841416.42,270.2527339115,,,,,,,22853790.54,1257.122085129,,,22853790.54,1257.122085129,,,22853790.54,1257.122085129,,,29299793.77,717.5511860113,,,,,0.1,1100.0,0.1,1100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22853790.54,1257.122085129,22853790.54,1257.122085129,,,,,,,,,,,-3343998.0,35.3838817284,
002910.SZ,002910,庄园牧场,10299834,通用,2021-03-31 00:00:00,一季报,2021一季报,058001001,2021-04-29 00:00:00,2022-04-30 00:00:00,CNY,234144017.26,66.3768871504,234144017.26,66.3768871504,,,,,,,,,,,212150063.08,44.1820338137,161186315.4,51.3803590978,,,,,1964054.92,-27.475846024,,,,,,,,,,,,,2259108.94,157.6395027822,16269314.67,17.0948502151,25797308.15,67.458949372,,,4673961.0,-39.9114892708,6719631.72,-10.4612505688,2143703.16,118.2957850269,,,,,,,1540344.08,129.0705028486,-3343998.0,-144.2730571186,,,,,,,,,,,216893.05,1289.7440777,958034.15,-4.1052116509,,,0,,21365227.46,277.1241777197,489450.96,116.2946129688,,,509128.39,985.870921866,,,,,0,,21345550.03,279.6327230656,578738.3,137.9346746126,,,,,,,20766811.73,300.5047469632,,,20766811.73,300.5047469632,,,20766811.73,300.5047469632,,,19880313.5,274.1189467768,,,,,0.09,280.0,0.09,280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20766811.73,300.5047469632,20766811.73,300.5047469632,,,,,,,,,,,-3343998.0,-144.2730571186,
002910.SZ,002910,庄园牧场,10299834,通用,2020-12-31 00:00:00,年报,2020年报,058001001,2021-03-30 00:00:00,2022-03-31 00:00:00,CNY,739820698.2,-9.063162518,739820698.2,-9.063162518,,,,,,,,,,,715618953.58,-5.4115066117,553389451.17,-1.1197059118,,,,,9103148.03,-3.7919938608,,,,,,,,,,,,,7744816.81,23.5739556895,52675556.26,-35.4339301236,68815010.49,-11.0801138633,,,23890970.82,7.6113951667,27549672.46,31.2110894008,5470259.43,114.2260141901,,,,,,,74262924.9,57.1630834424,-12925168.22,-46.4896518801,,,,,,,313094.36,15276.2855965682,-75837966.82,-30.8496698404,-1512831.18,-52.5374102438,6503220.92,-11.7828691798,,,0,,15005018.58,-65.7755540522,9005986.62,-63.7271441485,,,11650412.65,215.4916697172,,,,,0,,12360592.55,-80.9774559961,1907124.46,-86.0360439095,,,,,,,10453468.09,-79.6312754802,,,10453468.09,-79.6312754802,,,10453468.09,-79.6312754802,,,3216161.76,-59.0057026866,,,,,0.05,-81.4814814815,0.05,-81.4814814815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10453468.09,-79.6312754802,10453468.09,-79.6312754802,,,,,,,,,,,-12925168.22,-46.4896518801,标准无保留意见
